Frame,DroneE,DroneN,RGVE,RGVN
353,-9.82125739429096,-6.441633688308489,0,0
354,-9.82125739429096,-6.441633688308489,0,0
355,-9.82125739429096,-6.441633688308489,0,0
356,-9.906659632475343,-6.441633578065755,0,0
357,-9.906659632475343,-6.441633578065755,0,0
358,-9.906659632475343,-6.441633578065755,0,0
359,-9.992062015756463,-6.552696224250885,0,0
360,-9.992062015756463,-6.552696224250885,0,0
361,-9.992062015756463,-6.552696224250885,0,0
362,-10.077464256492814,-6.552696111972846,0,0
363,-10.077464256492814,-6.552696111972846,0,0
364,-10.077464256492814,-6.552696111972846,0,0
365,-10.16286664342886,-6.663758757649857,0,0
366,-10.16286664342886,-6.663758757649857,0,0
367,-10.16286664342886,-6.663758757649857,0,0
368,-10.333671124409776,-6.663758527422122,0,0
369,-10.333671124409776,-6.663758527422122,0,0
370,-10.333671124409776,-6.663758527422122,0,0
371,-10.419073365737061,-6.663758410903352,0,0
372,-10.419073365737061,-6.663758410903352,0,0
373,-10.419073365737061,-6.663758410903352,0,0
374,-10.504475759859499,-6.77482105208278,0,0
375,-10.504475759859499,-6.77482105208278,0,0
376,-10.504475759859499,-6.77482105208278,0,0
377,-10.589878002390922,-6.774820933292549,0,0
378,-10.589878002390922,-6.774820933292549,0,0
379,-10.589878002390922,-6.774820933292549,0,0
380,-10.675280399310203,-6.885883572928955,0,0
381,-10.675280399310203,-6.885883572928955,0,0
382,-10.675280399310203,-6.885883572928955,0,0
383,-10.760682642800893,-6.885883452444968,0,0
384,-10.760682642800893,-6.885883452444968,-12.65683796552973,-9.785010943149498
385,-10.760682642800893,-6.885883452444968,-12.63605589977587,-9.793889616164979
386,-10.931487288355273,-6.996945967719298,-12.77455473694513,-9.883770984268843
387,-10.931487288355273,-6.996945967719298,0,0
388,-10.931487288355273,-6.996945967719298,-12.705538576915654,-9.844564348608719
389,-11.016889533274737,-6.996945845003211,0,0
390,-11.016889533274737,-6.996945845003211,-12.738157147832924,-9.832094578609144
391,-11.016889533274737,-6.996945845003211,0,0
392,-11.1022917777854,-6.996945720974274,0,0
393,-11.1022917777854,-6.996945720974274,0,0
394,-11.1022917777854,-6.996945720974274,0,0
395,-11.187694184932793,-7.108008353279045,0,0
396,-11.187694184932793,-7.108008353279045,0,0
397,-11.187694184932793,-7.108008353279045,0,0
398,-11.273096430851995,-7.108008227635073,0,0
399,-11.273096430851995,-7.108008227635073,-12.691483839756941,-9.73117006592647
400,-11.273096430851995,-7.108008227635073,0,0
401,-11.358498675913118,-7.108008100599535,0,0
402,-11.358498675913118,-7.108008100599535,0,0
403,-11.358498675913118,-7.108008100599535,-12.66138019500799,-9.652186860603269
404,-11.443901089042765,-7.219070730678183,0,0
405,-11.443901089042765,-7.219070730678183,0,0
406,-11.443901089042765,-7.219070730678183,0,0
407,-11.529303504254868,-7.330133359973197,-12.735777370576688,-9.824238482103716
408,-11.529303504254868,-7.330133359973197,0,0
409,-11.529303504254868,-7.330133359973197,-12.678561512285928,-9.764041665840221
410,-11.529303672568268,-7.44119611829299,0,0
411,-11.529303672568268,-7.44119611829299,-12.627640849083999,-9.810605262042666
412,-11.529303672568268,-7.44119611829299,0,0
413,-11.614705922243578,-7.441195988342252,0,0
414,-11.614705922243578,-7.441195988342252,0,0
415,-11.614705922243578,-7.441195988342252,-12.63005335281023,-9.745455355323184
416,-11.700108341865468,-7.552258616562279,0,0
417,-11.700108341865468,-7.552258616562279,-12.659358763636162,-9.78702307915303
418,-11.700108341865468,-7.552258616562279,-12.639227047631454,-9.783868764461557
419,-11.785510764733475,-7.6633212426046775,0,0
420,-11.785510764733475,-7.6633212426046775,0,0
421,-11.785510764733475,-7.6633212426046775,0,0
422,-11.78551093676251,-7.774384001061795,0,0
423,-11.78551093676251,-7.774384001061795,0,0
424,-11.78551093676251,-7.774384001061795,-12.563359755055686,-9.819266769329618
425,-11.87091318947954,-7.77438386792034,-12.627856110732365,-9.80913551047968
426,-11.87091318947954,-7.77438386792034,0,0
427,-11.87091318947954,-7.77438386792034,0,0
428,-11.956315618084927,-7.885446494097634,0,0
429,-11.956315618084927,-7.885446494097634,0,0
430,-11.956315618084927,-7.885446494097634,-12.570702623076404,-9.802301174634703
431,-12.041718047730525,-7.9965091161129145,-12.63021408444233,-9.888814202417159
432,-12.041718047730525,-7.9965091161129145,-12.612046530391313,-9.90232484595726
433,-12.041718047730525,-7.9965091161129145,0,0
434,-12.127120303673438,-7.996508981054234,-12.626710129771068,-9.83070571940594
435,-12.127120303673438,-7.996508981054234,-12.600002289764838,-9.791545618647264
436,-12.127120303673438,-7.996508981054234,-12.569767304074428,-9.764558631264858
437,-12.212522736769559,-8.107571602618297,0,0
438,-12.212522736769559,-8.107571602618297,0,0
439,-12.212522736769559,-8.107571602618297,0,0
440,-12.297924993691973,-8.107571465248796,-12.628153667272398,-9.794440802817261
441,-12.297924993691973,-8.107571465248796,0,0
442,-12.297924993691973,-8.107571465248796,0,0
443,-12.38332743093277,-8.218634084792665,-12.624341921376898,-9.816987815440095
444,-12.38332743093277,-8.218634084792665,0,0
445,-12.38332743093277,-8.218634084792665,0,0
446,-12.468729690427388,-8.218633944770795,-12.622037460784814,-9.746564572529785
447,-12.468729690427388,-8.218633944770795,0,0
448,-12.468729690427388,-8.218633944770795,0,0
449,-12.55413213093454,-8.329696562946621,0,0
450,-12.55413213093454,-8.329696562946621,0,0
451,-12.55413213093454,-8.329696562946621,0,0
452,-12.639534575341491,-8.44075917967996,0,0
453,-12.639534575341491,-8.44075917967996,0,0
454,-12.639534575341491,-8.44075917967996,0,0
455,-12.724937020707706,-8.55182179578953,0,0
456,-12.724937020707706,-8.55182179578953,0,0
457,-12.724937020707706,-8.55182179578953,0,0
458,-12.810339283019408,-8.551821652537587,0,0
459,-12.810339283019408,-8.551821652537587,0,0
460,-12.810339283019408,-8.551821652537587,0,0
461,-12.89574173257077,-8.662884266462823,0,0
462,-12.89574173257077,-8.662884266462823,0,0
463,-12.89574173257077,-8.662884266462823,0,0
464,-12.981143996964924,-8.662884121713919,-12.496279379155807,-9.79114203180265
465,-12.981143996964924,-8.662884121713919,-12.462191915854579,-9.75846740643546
466,-12.981143996964924,-8.662884121713919,-12.416272843247803,-9.75028059797331
467,-13.066546451130474,-8.773946732367294,0,0
468,-13.066546451130474,-8.773946732367294,-12.430939998894644,-9.82582565786289
469,-13.066546451130474,-8.773946732367294,-12.385734136598519,-9.808195759695515
470,-13.237350978058936,-8.77394643757874,-12.520272567526952,-9.79211076070444
471,-13.237350978058936,-8.77394643757874,0,0
472,-13.237350978058936,-8.77394643757874,-12.431472326343707,-9.76908390572779
473,-13.322753437553061,-8.885009046340837,-12.486326154462423,-9.852142917715717
474,-13.322753437553061,-8.885009046340837,0,0
475,-13.322753437553061,-8.885009046340837,-12.398718567964947,-9.830685574846662
476,-13.40815570460037,-8.885008896471307,0,0
477,-13.40815570460037,-8.885008896471307,-12.417882822219187,-9.790703959975787
478,-13.40815570460037,-8.885008896471307,0,0
479,-13.49355816640159,-8.99607150448913,0,0
480,-13.49355816640159,-8.99607150448913,-12.373503275243563,-9.852351560155698
481,-13.49355816640159,-8.99607150448913,-12.348629140996222,-9.829181961171985
482,-13.66436269953491,-8.99607119961676,0,0
483,-13.66436269953491,-8.99607119961676,-12.424672383473748,-9.802895682395247
484,-13.66436269953491,-8.99607119961676,-12.396275257760376,-9.776498480831169
485,-13.749765167379094,-9.107133803557268,-12.428179894380108,-9.876611773245184
486,-13.749765167379094,-9.107133803557268,0,0
487,-13.749765167379094,-9.107133803557268,-12.341934863776691,-9.840545556458755
488,-13.835167434812936,-9.107133648790581,-12.410808693523094,-9.808976657461258
489,-13.835167434812936,-9.107133648790581,-12.357254004961796,-9.794857546961671
490,-13.835167434812936,-9.107133648790581,0,0
491,-14.005972176093453,-9.218196094407894,-12.459076952089958,-9.87022783989197
492,-14.005972176093453,-9.218196094407894,-12.40200734000213,-9.854045822382647
493,-14.005972176093453,-9.218196094407894,-12.357296967444945,-9.829971767136382
494,-14.091374445874862,-9.218195936949481,-12.385000031268248,-9.829442776384509
495,-14.091374445874862,-9.218195936949481,-12.339637274486046,-9.805525707936296
496,-14.091374445874862,-9.218195936949481,-12.313961275455696,-9.777797891798182
497,-14.262179192135862,-9.329258376084828,-12.467858485759649,-9.873916081170357
498,-14.262179192135862,-9.329258376084828,-12.405196140381038,-9.855964543496288
499,-14.262179192135862,-9.329258376084828,-12.363651671906943,-9.833941537515358
500,-14.347581463141648,-9.32925821573789,-12.393063942329187,-9.828598981615185
501,-14.347581463141648,-9.32925821573789,-12.353115416948214,-9.808244191263805
502,-14.347581463141648,-9.32925821573789,-12.31316689156724,-9.787889400912425
503,-14.51838600390657,-9.329257891722534,-12.48287540948491,-9.768451533233197
504,-14.51838600390657,-9.329257891722534,-12.400569507190104,-9.755366320568559
505,-14.51838600390657,-9.329257891722534,-12.360514952467556,-9.735220978269622
506,-14.60378827501354,-9.329257728290274,0,0
507,-14.60378827501354,-9.329257728290274,-12.376741811932225,-9.700666297575513
508,-14.60378827501354,-9.329257728290274,0,0
509,-14.689190759312964,-9.440320322808645,-12.359107602635152,-9.781943549470371
510,-14.689190759312964,-9.440320322808645,0,0
511,-14.689190759312964,-9.440320322808645,-12.315122812619755,-9.737703885163985
512,-14.859995303485906,-9.440319991322486,-12.422490390744764,-9.733938596874887
513,-14.859995303485906,-9.440319991322486,0,0
514,-14.859995303485906,-9.440319991322486,0,0
515,-14.945397794052933,-9.551382580732914,0,0
516,-14.945397794052933,-9.551382580732914,0,0
517,-14.945397794052933,-9.551382580732914,-12.308996689524035,-9.756855056950268
518,-15.03080006644499,-9.551382412560937,-12.2782484864413,-9.746432774758674
519,-15.03080006644499,-9.551382412560937,-12.274375603269192,-9.724591470420146
520,-15.03080006644499,-9.551382412560937,-12.289307031355683,-9.701903643600634
521,-15.116202560217664,-9.66244500174119,0,0
522,-15.116202560217664,-9.66244500174119,-12.244194642914701,-9.783217739792514
523,-15.116202560217664,-9.66244500174119,-12.269125474660907,-9.760008355274092
524,-15.201604834038497,-9.662444831337112,-12.320382412420816,-9.748607343046602
525,-15.201604834038497,-9.662444831337112,-12.249136737133949,-9.730225669983762
526,-15.201604834038497,-9.662444831337112,0,0
